Year,Units,Category,Value
2006,%,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),90
2007,%,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),92
2008,%,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95
2009,%,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),92
2010,%,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94
2011,%,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95
2012,%,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94
2013,%,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94
2014,%,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),91
2015,%,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),89
2016,%,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),89
2017,%,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),87
2018,%,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),86
2019,%,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),85
2020,%,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),84
2021,%,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),83
2022,%,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),80
2007,%,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),95
2008,%,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),96
2009,%,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),96
2010,%,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97
2011,%,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97
2012,%,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97
2013,%,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),94
2014,%,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),95
2015,%,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),94
2016,%,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),86
2017,%,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),83
2018,%,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),86
2019,%,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),81
2020,%,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),76
2021,%,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),79
2022,%,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),70
