Year,Units,Category,Value
2010,tons,,10039376.0
2011,tons,,9056172.0
2012,tons,,8487730.0
2013,tons,,8724634.0
2010,tons per capita,,16.2
2011,tons per capita,,14.6
2012,tons per capita,,13.7
2013,tons per capita,,14.1
2008,kilograms per constant 2015 USD,biomass,0.3
2009,kilograms per constant 2015 USD,biomass,0.3
2010,kilograms per constant 2015 USD,biomass,0.4
2011,kilograms per constant 2015 USD,biomass,0.4
2012,kilograms per constant 2015 USD,biomass,0.4
2013,kilograms per constant 2015 USD,biomass,0.4
2014,kilograms per constant 2015 USD,biomass,0.4
2015,kilograms per constant 2015 USD,biomass,0.3
2016,kilograms per constant 2015 USD,biomass,0.3
2017,kilograms per constant 2015 USD,biomass,0.3
2018,kilograms per constant 2015 USD,biomass,0.3
2019,kilograms per constant 2015 USD,biomass,0.3
2008,kilograms per constant 2015 USD,fossil fuels,0.4
2009,kilograms per constant 2015 USD,fossil fuels,0.3
2010,kilograms per constant 2015 USD,fossil fuels,0.5
2011,kilograms per constant 2015 USD,fossil fuels,0.5
2012,kilograms per constant 2015 USD,fossil fuels,0.5
2013,kilograms per constant 2015 USD,fossil fuels,0.4
2014,kilograms per constant 2015 USD,fossil fuels,0.4
2015,kilograms per constant 2015 USD,fossil fuels,0.4
2016,kilograms per constant 2015 USD,fossil fuels,0.3
2017,kilograms per constant 2015 USD,fossil fuels,0.3
2018,kilograms per constant 2015 USD,fossil fuels,0.3
2019,kilograms per constant 2015 USD,fossil fuels,0.3
2008,kilograms per constant 2015 USD,metal ores,0.1
2009,kilograms per constant 2015 USD,metal ores,0.0
2010,kilograms per constant 2015 USD,metal ores,0.0
2011,kilograms per constant 2015 USD,metal ores,0.1
2012,kilograms per constant 2015 USD,metal ores,0.0
2013,kilograms per constant 2015 USD,metal ores,0.0
2014,kilograms per constant 2015 USD,metal ores,0.1
2015,kilograms per constant 2015 USD,metal ores,0.0
2016,kilograms per constant 2015 USD,metal ores,0.1
2017,kilograms per constant 2015 USD,metal ores,0.0
2018,kilograms per constant 2015 USD,metal ores,0.1
2019,kilograms per constant 2015 USD,metal ores,0.1
2008,kilograms per constant 2015 USD,non-metallic minerals,1.7
2009,kilograms per constant 2015 USD,non-metallic minerals,1.2
2010,kilograms per constant 2015 USD,non-metallic minerals,1.0
2011,kilograms per constant 2015 USD,non-metallic minerals,0.9
2012,kilograms per constant 2015 USD,non-metallic minerals,0.9
2013,kilograms per constant 2015 USD,non-metallic minerals,0.8
2014,kilograms per constant 2015 USD,non-metallic minerals,0.8
2015,kilograms per constant 2015 USD,non-metallic minerals,0.8
2016,kilograms per constant 2015 USD,non-metallic minerals,1.0
2017,kilograms per constant 2015 USD,non-metallic minerals,1.3
2018,kilograms per constant 2015 USD,non-metallic minerals,1.6
2019,kilograms per constant 2015 USD,non-metallic minerals,1.5
