Year,Units,Pol,Starost,Value
2013,%,,,37.3
2014,%,,,37.5
2015,%,,,35.9
2016,%,,,34.6
2017,%,,,33.7
2018,%,,,31.4
2019,%,,,30.5
2020,%,,,30.9
2013,%,Muškarci,,36.7
2014,%,Muškarci,,37.6
2015,%,Muškarci,,35.9
2016,%,Muškarci,,35.2
2017,%,Muškarci,,34.6
2018,%,Muškarci,,31.7
2019,%,Muškarci,,30.5
2020,%,Muškarci,,30.9
2013,%,Žene,,38.0
2014,%,Žene,,37.4
2015,%,Žene,,35.9
2016,%,Žene,,34.0
2017,%,Žene,,32.8
2018,%,Žene,,31.1
2019,%,Žene,,30.5
2020,%,Žene,,30.8
2013,%,,18-64 godine,36.8
2014,%,,18-64 godine,37.9
2015,%,,18-64 godine,36.1
2016,%,,18-64 godine,35.3
2017,%,,18-64 godine,34.1
2018,%,,18-64 godine,30.9
2019,%,,18-64 godine,29.9
2020,%,,18-64 godine,29.8
2013,%,,65 ili više godina,28.3
2014,%,,65 ili više godina,20.4
2015,%,,65 ili više godina,23.8
2016,%,,65 ili više godina,21.2
2017,%,,65 ili više godina,21.1
2018,%,,65 ili više godina,17.0
2019,%,,65 ili više godina,19.0
2020,%,,65 ili više godina,22.1
2013,%,,Manje od 18 godina,43.0
2014,%,,Manje od 18 godina,44.9
2015,%,,Manje od 18 godina,42.2
2016,%,,Manje od 18 godina,40.1
2017,%,,Manje od 18 godina,40.3
2018,%,,Manje od 18 godina,39.4
2019,%,,Manje od 18 godina,38.4
2020,%,,Manje od 18 godina,38.6
