Year,Value,Units
2008,202.3,per 100 000 population
2009,406.9,per 100 000 population
2010,511.3,per 100 000 population
2011,581.4,per 100 000 population
2012,635.5,per 100 000 population
2013,85.4,per 100 000 population
2014,94.7,per 100 000 population
2015,101.8,per 100 000 population
2016,112.5,per 100 000 population
2017,111.3,per 100 000 population
2018,113.2,per 100 000 population
2019,104.5,per 100 000 population
2020,84.3,per 100 000 population
2021,99.2,per 100 000 population
2022,98.1,per 100 000 population
