Year,Value,Units
2010,0.0,total infected
2011,3.0,total infected
2012,1.0,total infected
2013,1.0,total infected
2014,0.0,total infected
2015,0.0,total infected
2016,0.0,total infected
2017,1.0,total infected
2018,2.0,total infected
2019,0.0,total infected
2020,1.0,total infected
2021,1.0,total infected
2010,0.0,per 100 000 population
2011,0.004838483,per 100 000 population
2012,0.001612828,per 100 000 population
2013,0.001612828,per 100 000 population
2014,0.0,per 100 000 population
2015,0.0,per 100 000 population
2016,0.0,per 100 000 population
2017,0.001612828,per 100 000 population
2018,0.003225656,per 100 000 population
2019,0.0,per 100 000 population
2020,0.001612828,per 100 000 population
2021,0.001612828,per 100 000 population
