Year,Units,Value
2008,per_100000_population,202.3
2009,per_100000_population,406.9
2010,per_100000_population,511.3
2011,per_100000_population,581.4
2012,per_100000_population,635.5
2013,per_100000_population,85.4
2014,per_100000_population,94.7
2015,per_100000_population,101.8
2016,per_100000_population,112.5
2017,per_100000_population,111.3
2018,per_100000_population,113.2
2019,per_100000_population,104.5
2020,per_100000_population,84.3
2021,per_100000_population,99.2
2022,per_100000_population,98.1
