Year,Units,Category,Value
2010,millions_constant_usd_2017,17_10_1_cat_1,7.9
2015,millions_constant_usd_2017,17_10_1_cat_1,7.4
2016,millions_constant_usd_2017,17_10_1_cat_1,6.7
2017,millions_constant_usd_2017,17_10_1_cat_1,5.6
2018,millions_constant_usd_2017,17_10_1_cat_1,5.6
2019,millions_constant_usd_2017,17_10_1_cat_1,5.4
2020,millions_constant_usd_2017,17_10_1_cat_1,5.7
2021,millions_constant_usd_2017,17_10_1_cat_1,5.7
2010,millions_constant_usd_2017,17_10_1_cat_2,1.4
2015,millions_constant_usd_2017,17_10_1_cat_2,1.2
2016,millions_constant_usd_2017,17_10_1_cat_2,1.1
2017,millions_constant_usd_2017,17_10_1_cat_2,1.0
2018,millions_constant_usd_2017,17_10_1_cat_2,0.9
2019,millions_constant_usd_2017,17_10_1_cat_2,0.9
2020,millions_constant_usd_2017,17_10_1_cat_2,1.0
2021,millions_constant_usd_2017,17_10_1_cat_2,1.1
