Year,Units,Kategorija,Value
2008,%,Udio stanovništva sa velikim izdacima domaćinstva za zdravstvo (veći od 10%) kao udio u ukupnim rashodima ili prihodima domaćinstva,6.9
2009,%,Udio stanovništva sa velikim izdacima domaćinstva za zdravstvo (veći od 10%) kao udio u ukupnim rashodima ili prihodima domaćinstva,7.4
2010,%,Udio stanovništva sa velikim izdacima domaćinstva za zdravstvo (veći od 10%) kao udio u ukupnim rashodima ili prihodima domaćinstva,7.0
2011,%,Udio stanovništva sa velikim izdacima domaćinstva za zdravstvo (veći od 10%) kao udio u ukupnim rashodima ili prihodima domaćinstva,9.3
2012,%,Udio stanovništva sa velikim izdacima domaćinstva za zdravstvo (veći od 10%) kao udio u ukupnim rashodima ili prihodima domaćinstva,7.8
2013,%,Udio stanovništva sa velikim izdacima domaćinstva za zdravstvo (veći od 10%) kao udio u ukupnim rashodima ili prihodima domaćinstva,9.1
2014,%,Udio stanovništva sa velikim izdacima domaćinstva za zdravstvo (veći od 10%) kao udio u ukupnim rashodima ili prihodima domaćinstva,8.9
2015,%,Udio stanovništva sa velikim izdacima domaćinstva za zdravstvo (veći od 10%) kao udio u ukupnim rashodima ili prihodima domaćinstva,10.3
2008,%,Udio stanovništva sa velikim izdacima domaćinstva za zdravstvo (veći od 25%) kao udio u ukupnim rashodima ili prihodima domaćinstva,1.1
2009,%,Udio stanovništva sa velikim izdacima domaćinstva za zdravstvo (veći od 25%) kao udio u ukupnim rashodima ili prihodima domaćinstva,0.6
2010,%,Udio stanovništva sa velikim izdacima domaćinstva za zdravstvo (veći od 25%) kao udio u ukupnim rashodima ili prihodima domaćinstva,0.7
2011,%,Udio stanovništva sa velikim izdacima domaćinstva za zdravstvo (veći od 25%) kao udio u ukupnim rashodima ili prihodima domaćinstva,0.8
2012,%,Udio stanovništva sa velikim izdacima domaćinstva za zdravstvo (veći od 25%) kao udio u ukupnim rashodima ili prihodima domaćinstva,0.8
2013,%,Udio stanovništva sa velikim izdacima domaćinstva za zdravstvo (veći od 25%) kao udio u ukupnim rashodima ili prihodima domaćinstva,1.7
2014,%,Udio stanovništva sa velikim izdacima domaćinstva za zdravstvo (veći od 25%) kao udio u ukupnim rashodima ili prihodima domaćinstva,1.0
2015,%,Udio stanovništva sa velikim izdacima domaćinstva za zdravstvo (veći od 25%) kao udio u ukupnim rashodima ili prihodima domaćinstva,0.8
