Year,Units,Value
2010,ukupno novoinficiranih,0.0
2011,ukupno novoinficiranih,3.0
2012,ukupno novoinficiranih,1.0
2013,ukupno novoinficiranih,1.0
2014,ukupno novoinficiranih,0.0
2015,ukupno novoinficiranih,0.0
2016,ukupno novoinficiranih,0.0
2017,ukupno novoinficiranih,1.0
2018,ukupno novoinficiranih,2.0
2019,ukupno novoinficiranih,0.0
2020,ukupno novoinficiranih,1.0
2021,ukupno novoinficiranih,1.0
2022,ukupno novoinficiranih,0.0
2010,na 100 000 ljudi,0.0
2011,na 100 000 ljudi,0.004838483
2012,na 100 000 ljudi,0.001612828
2013,na 100 000 ljudi,0.001612828
2014,na 100 000 ljudi,0.0
2015,na 100 000 ljudi,0.0
2016,na 100 000 ljudi,0.0
2017,na 100 000 ljudi,0.001612828
2018,na 100 000 ljudi,0.003225656
2019,na 100 000 ljudi,0.0
2020,na 100 000 ljudi,0.001612828
2021,na 100 000 ljudi,0.001612828
2022,na 100 000 ljudi,0.0
