Year,Units,Kategorija,Value
2010,procenat,ukupno,17.5
2011,procenat,ukupno,18.0
2012,procenat,ukupno,17.7
2013,procenat,ukupno,17.8
2014,procenat,ukupno,17.8
2015,procenat,ukupno,18.8
2016,procenat,ukupno,19.6
2017,procenat,ukupno,20.4
2018,procenat,ukupno,21.5
2019,procenat,ukupno,22.3
2020,procenat,ukupno,18.9
2010,procenat,poljoprivreda,3.8
2011,procenat,poljoprivreda,4.1
2012,procenat,poljoprivreda,3.7
2013,procenat,poljoprivreda,4.1
2014,procenat,poljoprivreda,4.2
2015,procenat,poljoprivreda,4.3
2016,procenat,poljoprivreda,4.1
2017,procenat,poljoprivreda,4.0
2018,procenat,poljoprivreda,4.1
2019,procenat,poljoprivreda,4.1
2020,procenat,poljoprivreda,3.6
2008,procenat,industrija,7.8
2009,procenat,industrija,6.1
2010,procenat,industrija,6.3
2011,procenat,industrija,6.7
2012,procenat,industrija,5.8
2013,procenat,industrija,5.4
2014,procenat,industrija,5.3
2015,procenat,industrija,5.8
2016,procenat,industrija,6.9
2017,procenat,industrija,7.5
2018,procenat,industrija,7.9
2019,procenat,industrija,8.7
2020,procenat,industrija,7.1
2008,procenat,usluge,23.9
2009,procenat,usluge,24.0
2010,procenat,usluge,25.0
2011,procenat,usluge,25.7
2012,procenat,usluge,25.7
2013,procenat,usluge,26.1
2014,procenat,usluge,26.2
2015,procenat,usluge,27.6
2016,procenat,usluge,28.1
2017,procenat,usluge,29.1
2018,procenat,usluge,30.6
2019,procenat,usluge,31.4
2020,procenat,usluge,26.9
