Year,Units,Kategorija,Value
2010,ukupno,filijale poslovnih banaka,85.0
2011,ukupno,filijale poslovnih banaka,85.0
2012,ukupno,filijale poslovnih banaka,88.0
2013,ukupno,filijale poslovnih banaka,97.0
2014,ukupno,filijale poslovnih banaka,119.0
2015,ukupno,filijale poslovnih banaka,105.0
2016,ukupno,filijale poslovnih banaka,110.0
2017,ukupno,filijale poslovnih banaka,113.0
2018,ukupno,filijale poslovnih banaka,111.0
2019,ukupno,filijale poslovnih banaka,111.0
2020,ukupno,filijale poslovnih banaka,106.0
2021,ukupno,filijale poslovnih banaka,110.0
2010,ukupno,bankomati,321.0
2011,ukupno,bankomati,332.0
2012,ukupno,bankomati,350.0
2013,ukupno,bankomati,361.0
2014,ukupno,bankomati,359.0
2015,ukupno,bankomati,386.0
2016,ukupno,bankomati,396.0
2017,ukupno,bankomati,412.0
2018,ukupno,bankomati,443.0
2019,ukupno,bankomati,413.0
2020,ukupno,bankomati,416.0
2021,ukupno,bankomati,419.0
2010,ukupno,odraslih ljudi (15+),498032.0
2011,ukupno,odraslih ljudi (15+),500653.0
2012,ukupno,odraslih ljudi (15+),502698.0
2013,ukupno,odraslih ljudi (15+),504320.0
2014,ukupno,odraslih ljudi (15+),505976.0
2015,ukupno,odraslih ljudi (15+),507095.0
2016,ukupno,odraslih ljudi (15+),508108.0
2017,ukupno,odraslih ljudi (15+),509085.0
2018,ukupno,odraslih ljudi (15+),509929.0
2019,ukupno,odraslih ljudi (15+),510429.0
2020,ukupno,odraslih ljudi (15+),510398.0
2021,ukupno,odraslih ljudi (15+),509572.0
2010,na 100 000 odraslih ljudi,filijale poslovnih banaka,17.07
2011,na 100 000 odraslih ljudi,filijale poslovnih banaka,16.98
2012,na 100 000 odraslih ljudi,filijale poslovnih banaka,17.51
2013,na 100 000 odraslih ljudi,filijale poslovnih banaka,19.23
2014,na 100 000 odraslih ljudi,filijale poslovnih banaka,23.52
2015,na 100 000 odraslih ljudi,filijale poslovnih banaka,20.71
2016,na 100 000 odraslih ljudi,filijale poslovnih banaka,21.65
2017,na 100 000 odraslih ljudi,filijale poslovnih banaka,22.2
2018,na 100 000 odraslih ljudi,filijale poslovnih banaka,21.77
2019,na 100 000 odraslih ljudi,filijale poslovnih banaka,21.75
2020,na 100 000 odraslih ljudi,filijale poslovnih banaka,20.77
2021,na 100 000 odraslih ljudi,filijale poslovnih banaka,21.59
2010,na 100 000 odraslih ljudi,bankomati,64.45
2011,na 100 000 odraslih ljudi,bankomati,66.31
2012,na 100 000 odraslih ljudi,bankomati,69.62
2013,na 100 000 odraslih ljudi,bankomati,71.58
2014,na 100 000 odraslih ljudi,bankomati,70.95
2015,na 100 000 odraslih ljudi,bankomati,76.12
2016,na 100 000 odraslih ljudi,bankomati,77.94
2017,na 100 000 odraslih ljudi,bankomati,80.93
2018,na 100 000 odraslih ljudi,bankomati,86.87
2019,na 100 000 odraslih ljudi,bankomati,80.91
2020,na 100 000 odraslih ljudi,bankomati,81.51
2021,na 100 000 odraslih ljudi,bankomati,82.23
