Year,Units,Category,Value
2014,yes_no,national_stat_plan_strategy,1.0
2015,yes_no,national_stat_plan_strategy,1.0
2016,yes_no,national_stat_plan_strategy,1.0
2017,yes_no,national_stat_plan_strategy,1.0
2018,yes_no,national_stat_plan_strategy,1.0
2019,yes_no,national_stat_plan_strategy,1.0
2020,yes_no,national_stat_plan_strategy,1.0
2021,yes_no,national_stat_plan_strategy,1.0
2022,yes_no,national_stat_plan_strategy,1.0
2016,index,17_18_3_cat_2,56.93
2017,index,17_18_3_cat_2,59.96
2018,index,17_18_3_cat_2,64.74
2019,index,17_18_3_cat_2,67.02
