Year,Units,Value
2000,per_100000_population,14.8
2001,per_100000_population,17.61
2002,per_100000_population,13.69
2003,per_100000_population,14.17
2004,per_100000_population,15.28
2005,per_100000_population,15.9
2006,per_100000_population,14.24
2007,per_100000_population,20.34
2008,per_100000_population,18.51
2009,per_100000_population,16.53
2010,per_100000_population,15.7
2011,per_100000_population,9.6
2012,per_100000_population,7.51
2013,per_100000_population,12.13
2014,per_100000_population,10.69
2015,per_100000_population,8.45
2016,per_100000_population,10.68
2017,per_100000_population,10.36
2018,per_100000_population,7.81
2019,per_100000_population,7.64
2021,per_100000_population,9.1
