Year,Units,Category,Value
2008,per_100000_population,1_5_1_cat_1,0.0
2009,per_100000_population,1_5_1_cat_1,0.2
2010,per_100000_population,1_5_1_cat_1,0.0
2011,per_100000_population,1_5_1_cat_1,0.0
2012,per_100000_population,1_5_1_cat_1,0.0
2013,per_100000_population,1_5_1_cat_1,3.0
2014,per_100000_population,1_5_1_cat_1,0.0
2015,per_100000_population,1_5_1_cat_1,0.0
2016,per_100000_population,1_5_1_cat_1,0.5
2017,per_100000_population,1_5_1_cat_1,0.0
2018,per_100000_population,1_5_1_cat_1,0.0
2019,per_100000_population,1_5_1_cat_1,
2020,per_100000_population,1_5_1_cat_1,0.0
2021,per_100000_population,1_5_1_cat_1,0.0
2008,per_100000_population,1_5_1_cat_2,0.0
2009,per_100000_population,1_5_1_cat_2,2.1
2010,per_100000_population,1_5_1_cat_2,87.6
2011,per_100000_population,1_5_1_cat_2,1.1
2012,per_100000_population,1_5_1_cat_2,0.0
2013,per_100000_population,1_5_1_cat_2,4.9
2014,per_100000_population,1_5_1_cat_2,0.0
2015,per_100000_population,1_5_1_cat_2,0.0
2016,per_100000_population,1_5_1_cat_2,0.9
2017,per_100000_population,1_5_1_cat_2,2.4
2018,per_100000_population,1_5_1_cat_2,1194.3
2020,per_100000_population,1_5_1_cat_2,0.0
2021,per_100000_population,1_5_1_cat_2,0.0
