Year,Units,Value
2008,per 100 000 population,202.3
2009,per 100 000 population,406.9
2010,per 100 000 population,511.3
2011,per 100 000 population,581.4
2012,per 100 000 population,635.5
2013,per 100 000 population,85.4
2014,per 100 000 population,94.7
2015,per 100 000 population,101.8
2016,per 100 000 population,112.5
2017,per 100 000 population,111.3
2018,per 100 000 population,113.2
2019,per 100 000 population,104.5
2020,per 100 000 population,84.3
2021,per 100 000 population,99.2
2022,per 100 000 population,98.1
