Year,Units,Category,Value
2008,percent,Share of population using clean fuels and technologies,77.0
2009,percent,Share of population using clean fuels and technologies,42.0
2010,percent,Share of population using clean fuels and technologies,75.0
2011,percent,Share of population using clean fuels and technologies,74.0
2012,percent,Share of population using clean fuels and technologies,74.0
2013,percent,Share of population using clean fuels and technologies,73.0
2014,percent,Share of population using clean fuels and technologies,73.0
2015,percent,Share of population using clean fuels and technologies,42.0
2016,percent,Share of population using clean fuels and technologies,72.0
2017,percent,Share of population using clean fuels and technologies,62.0
2018,percent,Share of population using clean fuels and technologies for cooking,63.8
2018,percent,Share of population using clean fuels and technologies for heating,29.7
2018,percent,Share of population using clean fuels and technologies for lighting,99.6
2018,percent,"Share of population using clean fuels and technologies for cooking, heating and lighting",28.0
2018,percent,Share of population using clean fuels and technologies,42.0
2019,percent,Share of population using clean fuels and technologies,71.0
2020,percent,Share of population using clean fuels and technologies,62.0
2021,percent,Share of population using clean fuels and technologies,62.0
2000,percent,Rural,45.1
2000,percent,All area,67.1
2000,percent,Urban,83.1
2001,percent,All area,67.4
2001,percent,Urban,82.6
2001,percent,Rural,44.9
2002,percent,Rural,44.4
2002,percent,Urban,82.0
2002,percent,All area,66.9
2003,percent,All area,66.8
2003,percent,Rural,43.6
2003,percent,Urban,81.3
2004,percent,Urban,80.7
2004,percent,Rural,43.6
2004,percent,All area,66.3
2005,percent,Urban,79.5
2005,percent,Rural,43.1
2005,percent,All area,65.8
2006,percent,Urban,78.7
2006,percent,Rural,42.5
2006,percent,All area,65.45
2007,percent,Urban,77.7
2007,percent,Rural,42.3
2007,percent,All area,64.8
2008,percent,Urban,77.0
2008,percent,Rural,41.4
2008,percent,All area,64.2
2009,percent,Urban,75.8
2009,percent,Rural,41.5
2009,percent,All area,63.65
2010,percent,Urban,75.0
2010,percent,All area,63.0
2010,percent,Rural,41.5
2011,percent,All area,62.8
2011,percent,Urban,74.3
2011,percent,Rural,41.15
2012,percent,All area,62.2
2012,percent,Urban,73.5
2012,percent,Rural,41.1
2013,percent,Urban,73.0
2013,percent,Rural,41.1
2013,percent,All area,61.9
2014,percent,Urban,72.3
2014,percent,Rural,41.2
2014,percent,All area,61.8
2015,percent,Rural,41.4
2015,percent,Urban,72.2
2015,percent,All area,61.4
2016,percent,Rural,41.7
2016,percent,Urban,71.6
2016,percent,All area,61.6
2017,percent,Rural,42.3
2017,percent,All area,61.6
2017,percent,Urban,71.6
2018,percent,Urban,71.2
2018,percent,Rural,42.7
2018,percent,All area,61.75
2019,percent,All area,61.85
2019,percent,Urban,71.2
2019,percent,Rural,43.0
2020,percent,All area,62.1
2020,percent,Urban,71.3
2020,percent,Rural,43.8
2021,percent,Rural,44.0
2021,percent,All area,62.3
2021,percent,Urban,71.1
2022,percent,Rural,44.7
2022,percent,All area,62.6
2022,percent,Urban,71.5
