Year,Units,Category,Value
2008,%,"Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,",6.9
2009,%,"Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,",7.4
2010,%,"Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,",7.0
2011,%,"Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,",9.3
2012,%,"Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,",7.8
2013,%,"Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,",9.1
2014,%,"Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,",8.9
2015,%,"Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,",10.3
2008,%,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,1.1
2009,%,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,0.6
2010,%,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,0.7
2011,%,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,0.8
2012,%,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,0.8
2013,%,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,1.7
2014,%,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,1.0
2015,%,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,0.8
