Year,Units,Category,Value
2006,total,CO2 emission per unit of value added for the whole economy,0.58
2007,total,CO2 emission per unit of value added for the whole economy,0.53
2008,total,CO2 emission per unit of value added for the whole economy,0.63
2009,total,CO2 emission per unit of value added for the whole economy,0.43
2010,total,CO2 emission per unit of value added for the whole economy,0.62
2011,total,CO2 emission per unit of value added for the whole economy,0.59
2012,total,CO2 emission per unit of value added for the whole economy,0.56
2013,total,CO2 emission per unit of value added for the whole economy,0.53
2014,total,CO2 emission per unit of value added for the whole economy,0.51
2015,total,CO2 emission per unit of value added for the whole economy,0.52
2016,total,CO2 emission per unit of value added for the whole economy,0.45
2017,total,CO2 emission per unit of value added for the whole economy,0.45
2006,total,CO2 emission per unit of value added from manufacturing industries,0.88
2007,total,CO2 emission per unit of value added from manufacturing industries,1.51
2008,total,CO2 emission per unit of value added from manufacturing industries,1.7
2009,total,CO2 emission per unit of value added from manufacturing industries,1.24
2010,total,CO2 emission per unit of value added from manufacturing industries,0.62
2011,total,CO2 emission per unit of value added from manufacturing industries,0.49
2012,total,CO2 emission per unit of value added from manufacturing industries,0.58
2013,total,CO2 emission per unit of value added from manufacturing industries,0.86
2014,total,CO2 emission per unit of value added from manufacturing industries,0.86
2015,total,CO2 emission per unit of value added from manufacturing industries,0.82
2016,total,CO2 emission per unit of value added from manufacturing industries,0.8
