Year,Units,Value
2010,total infected,116.0
2011,total infected,119.0
2012,total infected,108.0
2013,total infected,120.0
2014,total infected,113.0
2015,total infected,80.0
2016,total infected,87.0
2017,total infected,72.0
2018,total infected,84.0
2019,total infected,82.0
2020,total infected,40.0
2010,per 100 000 population,18.72
2011,per 100 000 population,19.19
2012,per 100 000 population,17.41
2013,per 100 000 population,19.35
2014,per 100 000 population,18.22
2015,per 100 000 population,12.9
2016,per 100 000 population,14.03
2017,per 100 000 population,11.61
2018,per 100 000 population,13.54
2019,per 100 000 population,13.22
2020,per 100 000 population,6.45
