Year,Units,Kategorija,Value
2010,%,ukupno,17.5
2011,%,ukupno,18.0
2012,%,ukupno,17.7
2013,%,ukupno,17.8
2014,%,ukupno,17.8
2015,%,ukupno,18.8
2016,%,ukupno,19.6
2017,%,ukupno,20.4
2018,%,ukupno,21.5
2019,%,ukupno,22.3
2020,%,ukupno,18.9
2010,%,poljoprivreda,3.8
2011,%,poljoprivreda,4.1
2012,%,poljoprivreda,3.7
2013,%,poljoprivreda,4.1
2014,%,poljoprivreda,4.2
2015,%,poljoprivreda,4.3
2016,%,poljoprivreda,4.1
2017,%,poljoprivreda,4.0
2018,%,poljoprivreda,4.1
2019,%,poljoprivreda,4.1
2020,%,poljoprivreda,3.6
2008,%,industrija,7.8
2009,%,industrija,6.1
2010,%,industrija,6.3
2011,%,industrija,6.7
2012,%,industrija,5.8
2013,%,industrija,5.4
2014,%,industrija,5.3
2015,%,industrija,5.8
2016,%,industrija,6.9
2017,%,industrija,7.5
2018,%,industrija,7.9
2019,%,industrija,8.7
2020,%,industrija,7.1
2008,%,usluge,23.9
2009,%,usluge,24.0
2010,%,usluge,25.0
2011,%,usluge,25.7
2012,%,usluge,25.7
2013,%,usluge,26.1
2014,%,usluge,26.2
2015,%,usluge,27.6
2016,%,usluge,28.1
2017,%,usluge,29.1
2018,%,usluge,30.6
2019,%,usluge,31.4
2020,%,usluge,26.9
