Year,Units,Kategorija,Value
2010,miliona dolara (2017),"Svjetski ponderisani tarifni prosjek, status najpovlašćenije nacije, svi proizvodi",7.9
2015,miliona dolara (2017),"Svjetski ponderisani tarifni prosjek, status najpovlašćenije nacije, svi proizvodi",7.4
2016,miliona dolara (2017),"Svjetski ponderisani tarifni prosjek, status najpovlašćenije nacije, svi proizvodi",6.7
2017,miliona dolara (2017),"Svjetski ponderisani tarifni prosjek, status najpovlašćenije nacije, svi proizvodi",5.6
2018,miliona dolara (2017),"Svjetski ponderisani tarifni prosjek, status najpovlašćenije nacije, svi proizvodi",5.6
2019,miliona dolara (2017),"Svjetski ponderisani tarifni prosjek, status najpovlašćenije nacije, svi proizvodi",5.4
2020,miliona dolara (2017),"Svjetski ponderisani tarifni prosjek, status najpovlašćenije nacije, svi proizvodi",5.7
2021,miliona dolara (2017),"Svjetski ponderisani tarifni prosjek, status najpovlašćenije nacije, svi proizvodi",5.7
2010,miliona dolara (2017),"Svjetski ponderisani tarifni prosjek, preferencijalni status, svi proizvodi",1.4
2015,miliona dolara (2017),"Svjetski ponderisani tarifni prosjek, preferencijalni status, svi proizvodi",1.2
2016,miliona dolara (2017),"Svjetski ponderisani tarifni prosjek, preferencijalni status, svi proizvodi",1.1
2017,miliona dolara (2017),"Svjetski ponderisani tarifni prosjek, preferencijalni status, svi proizvodi",1.0
2018,miliona dolara (2017),"Svjetski ponderisani tarifni prosjek, preferencijalni status, svi proizvodi",0.9
2019,miliona dolara (2017),"Svjetski ponderisani tarifni prosjek, preferencijalni status, svi proizvodi",0.9
2020,miliona dolara (2017),"Svjetski ponderisani tarifni prosjek, preferencijalni status, svi proizvodi",1.0
2021,miliona dolara (2017),"Svjetski ponderisani tarifni prosjek, preferencijalni status, svi proizvodi",1.1
