Year,Units,Value
2000,per 100 000 population,14.8
2001,per 100 000 population,17.61
2002,per 100 000 population,13.69
2003,per 100 000 population,14.17
2004,per 100 000 population,15.28
2005,per 100 000 population,15.9
2006,per 100 000 population,14.24
2007,per 100 000 population,20.34
2008,per 100 000 population,18.51
2009,per 100 000 population,16.53
2010,per 100 000 population,15.7
2011,per 100 000 population,9.6
2012,per 100 000 population,7.51
2013,per 100 000 population,12.13
2014,per 100 000 population,10.69
2015,per 100 000 population,8.45
2016,per 100 000 population,10.68
2017,per 100 000 population,10.36
2018,per 100 000 population,7.81
2019,per 100 000 population,7.64
2021,per 100 000 population,9.1
