Year,Units,Kategorija,Value
2019,%,"u kojoj mjeri zakoni i propisi zemlje garantuju pun i jednak pristup seksualnoj i reproduktivnoj zdravstvenoj zaštiti, informacijama i obrazovanju ženama i muškarcima starijim od 15 godina",52
2019,%,"u kojoj mjeri zakoni i propisi zemlje garantuju pun i jednak pristup seksualnoj i reproduktivnoj zdravstvenoj zaštiti, informacijama i obrazovanju o porodiljskoj skrbi za žene i muškarce od 15 godina i više",75
2019,%,u kojoj mjeri zakoni i propisi zemlje garantuju pun i jednak pristup uslugama savjetovanja i testiranja na HIV za žene i muškarce od 15 godina i više,80
2019,%,u kojoj mjeri zakoni i propisi zemlje garantuju pun i jednak pristup uslugama liječenja i skrbi za HIV za žene i muškarce od 15 godina i više,80
2019,%,u kojoj mjeri zakoni i propisi zemlje garantuju pun i jednak pristup povjerljivosti HIV-a ženama i muškarcima starijim od 15 godina,75
2019,%,u kojoj mjeri državni zakoni i propisi garantiraju pun i jednak pristup HPV vakcini ženama i muškarcima starijim od 15 godina,0
2019,%,"u kojoj mjeri državni zakoni i propisi garantiraju pun i jednak pristup seksualnoj i reproduktivnoj zdravstvenoj zaštiti, informacijama i obrazovanju o proizvodima za spašavanje života ženama i muškarcima starijim od 15 godina",100
2019,%,u kojoj mjeri zakoni i propisi zemlje garantuju pun i jednak pristup pobačaju ženama i muškarcima starijim od 15 godina,75
2019,%,u kojoj mjeri zakoni i propisi zemlje garantuju pun i jednak pristup njezi nakon pobačaja za žene i muškarce od 15 godina i više,75
2019,%,u kojoj mjeri zakoni i propisi zemlje garantuju pun i jednak pristup uslugama kontracepcije ženama i muškarcima starijim od 15 godina,60
2019,%,u kojoj mjeri zakoni i propisi zemlje garantuju pun i jednak pristup pristanku za kontracepciju ženama i muškarcima starijim od 15 godina,0
2019,%,u kojoj mjeri zakoni i propisi zemlje garantuju pun i jednak pristup hitnoj kontracepciji za žene i muškarce od 15 godina i više,50
2019,%,u kojoj mjeri državni zakoni i propisi garantiraju pun i jednak pristup zakonima o nastavnom planu i programu seksualnog obrazovanja ženama i muškarcima starijim od 15 godina,0
2019,%,u kojoj mjeri državni zakoni i propisi garantiraju pun i jednak pristup temama nastavnog plana i programa seksualnog obrazovanja ženama i muškarcima starijim od 15 godina,0
2019,%,"u kojoj mjeri državni zakoni i propisi garantiraju pun i jednak pristup seksualnoj i reproduktivnoj zdravstvenoj zaštiti, informacijama i obrazovanju o porodiljskoj skrbi za žene i muškarce od 15 godina i više",81
2019,%,u kojoj mjeri državni zakoni i propisi jamče pun i jednak pristup kontraceptivima i planiranju porodice ženama i muškarcima starijim od 15 godina,37
2019,%,u kojoj mjeri zakoni i propisi zemlje garantuju pun i jednak pristup seksualnom obrazovanju za žene i muškarce od 15 godina i više,0
2019,%,"u kojoj mjeri zakoni i propisi zemlje garantuju pun i jednak pristup seksualnoj i reproduktivnoj zdravstvenoj zaštiti, informacijama i obrazovanju o HIV-u i HPV-u ženama i muškarcima starijim od 15 godina",59
