Year,Value,Units
2010,0.0,ukupno novoinficiranih
2011,3.0,ukupno novoinficiranih
2012,1.0,ukupno novoinficiranih
2013,1.0,ukupno novoinficiranih
2014,0.0,ukupno novoinficiranih
2015,0.0,ukupno novoinficiranih
2016,0.0,ukupno novoinficiranih
2017,1.0,ukupno novoinficiranih
2018,2.0,ukupno novoinficiranih
2019,0.0,ukupno novoinficiranih
2020,1.0,ukupno novoinficiranih
2021,1.0,ukupno novoinficiranih
2022,0.0,ukupno novoinficiranih
2010,0.0,na 100 000 ljudi
2011,0.004838483,na 100 000 ljudi
2012,0.001612828,na 100 000 ljudi
2013,0.001612828,na 100 000 ljudi
2014,0.0,na 100 000 ljudi
2015,0.0,na 100 000 ljudi
2016,0.0,na 100 000 ljudi
2017,0.001612828,na 100 000 ljudi
2018,0.003225656,na 100 000 ljudi
2019,0.0,na 100 000 ljudi
2020,0.001612828,na 100 000 ljudi
2021,0.001612828,na 100 000 ljudi
2022,0.0,na 100 000 ljudi
