Year,Value,Units
2010,116.0,ukupno novoinficiranih
2011,119.0,ukupno novoinficiranih
2012,108.0,ukupno novoinficiranih
2013,120.0,ukupno novoinficiranih
2014,113.0,ukupno novoinficiranih
2015,80.0,ukupno novoinficiranih
2016,87.0,ukupno novoinficiranih
2017,72.0,ukupno novoinficiranih
2018,84.0,ukupno novoinficiranih
2019,82.0,ukupno novoinficiranih
2020,40.0,ukupno novoinficiranih
2021,83.0,ukupno novoinficiranih
2022,71.0,ukupno novoinficiranih
2010,18.72,na 100 000 ljudi
2011,19.19,na 100 000 ljudi
2012,17.41,na 100 000 ljudi
2013,19.35,na 100 000 ljudi
2014,18.22,na 100 000 ljudi
2015,12.9,na 100 000 ljudi
2016,14.03,na 100 000 ljudi
2017,11.61,na 100 000 ljudi
2018,13.54,na 100 000 ljudi
2019,13.22,na 100 000 ljudi
2020,6.45,na 100 000 ljudi
2021,13.39,na 100 000 ljudi
2022,11.45,na 100 000 ljudi
