Year,Units,Kategorija,Value
2011,procenat stanovništva starosti 20-64 godine,Neaktivno stanovništvo zbog obaveza njege,2.2
2012,procenat stanovništva starosti 20-64 godine,Neaktivno stanovništvo zbog obaveza njege,3.1
2013,procenat stanovništva starosti 20-64 godine,Neaktivno stanovništvo zbog obaveza njege,4.5
2014,procenat stanovništva starosti 20-64 godine,Neaktivno stanovništvo zbog obaveza njege,3.5
2015,procenat stanovništva starosti 20-64 godine,Neaktivno stanovništvo zbog obaveza njege,4.2
2016,procenat stanovništva starosti 20-64 godine,Neaktivno stanovništvo zbog obaveza njege,3.3
2017,procenat stanovništva starosti 20-64 godine,Neaktivno stanovništvo zbog obaveza njege,3.0
2018,procenat stanovništva starosti 20-64 godine,Neaktivno stanovništvo zbog obaveza njege,4.0
2019,procenat stanovništva starosti 20-64 godine,Neaktivno stanovništvo zbog obaveza njege,3.8
2020,procenat stanovništva starosti 20-64 godine,Neaktivno stanovništvo zbog obaveza njege,3.7
