Year,Value,Units
2010,21.0,total_infected
2011,23.0,total_infected
2012,24.0,total_infected
2013,25.0,total_infected
2014,26.0,total_infected
2015,27.0,total_infected
2016,28.0,total_infected
2017,29.0,total_infected
2018,29.0,total_infected
2019,30.0,total_infected
2020,30.0,total_infected
2021,30.0,total_infected
2022,31.0,total_infected
2023,33.0,total_infected
2024,34.0,total_infected
2010,0.03,per_1000_uninfected_population
2011,0.04,per_1000_uninfected_population
2012,0.04,per_1000_uninfected_population
2013,0.04,per_1000_uninfected_population
2014,0.04,per_1000_uninfected_population
2015,0.04,per_1000_uninfected_population
2016,0.05,per_1000_uninfected_population
2017,0.05,per_1000_uninfected_population
2018,0.05,per_1000_uninfected_population
2019,0.05,per_1000_uninfected_population
2020,0.05,per_1000_uninfected_population
2021,0.05,per_1000_uninfected_population
2022,0.05,per_1000_uninfected_population
2023,0.05,per_1000_uninfected_population
2024,0.05,per_1000_uninfected_population
