Year,Value,Units
2010,0.0,total_infected
2011,3.0,total_infected
2012,1.0,total_infected
2013,1.0,total_infected
2014,0.0,total_infected
2015,0.0,total_infected
2016,0.0,total_infected
2017,1.0,total_infected
2018,2.0,total_infected
2019,0.0,total_infected
2020,1.0,total_infected
2021,1.0,total_infected
2010,0.0,per_100000_population
2011,0.004838483,per_100000_population
2012,0.001612828,per_100000_population
2013,0.001612828,per_100000_population
2014,0.0,per_100000_population
2015,0.0,per_100000_population
2016,0.0,per_100000_population
2017,0.001612828,per_100000_population
2018,0.003225656,per_100000_population
2019,0.0,per_100000_population
2020,0.001612828,per_100000_population
2021,0.001612828,per_100000_population
