Year,Units,Sex,Value
2008,per 100 000 population,,3.8
2009,per 100 000 population,,3.3
2010,per 100 000 population,,2.4
2011,per 100 000 population,,3.3
2012,per 100 000 population,,2.7
2013,per 100 000 population,,1.6
2014,per 100 000 population,,3.1
2015,per 100 000 population,,2.7
2016,per 100 000 population,,4.4
2017,per 100 000 population,,2.4
2018,per 100 000 population,,2.2
2019,per 100 000 population,,3.6
2020,per 100 000 population,,2.9
2021,per 100 000 population,,2.4
2020,per 100 000 population,Male,4.3
2020,per 100 000 population,Female,0.6
